17.0   8.   302.0      140.0      3449.      10.5   70.  1.	"FORD torino"
15.0   8.   429.0      198.0      4341.      10.0   70.  1.	"FORD galaxie 500"
NA     8.   351.0      153.0      4034.      11.0   70.  1.	"FORD torino (sw)"
NA     8.   302.0      140.0      3353.       8.0   70.  1.	"FORD mustang boss 302"
21.0   6.   200.0      85.00      2587.      16.0   70.  1.	"FORD maverick"
10.0   8.   360.0      215.0      4615.      14.0   70.  1.	"FORD f250"
25.0   4.   98.00      NA         2046.      19.0   71.  1.	"FORD pinto"
19.0   6.   250.0      88.00      3302.      15.5   71.  1.	"FORD torino 500"
14.0   8.   351.0      153.0      4154.      13.5   71.  1.	"FORD galaxie 500"
13.0   8.   400.0      170.0      4746.      12.0   71.  1.	"FORD country squire (sw)"
18.0   6.   250.0      88.00      3139.      14.5   71.  1.	"FORD mustang"
21.0   4.   122.0      86.00      2226.      16.5   72.  1.	"FORD pinto runabout"
14.0   8.   351.0      153.0      4129.      13.0   72.  1.	"FORD galaxie 500"
13.0   8.   302.0      140.0      4294.      16.0   72.  1.	"FORD gran torino (sw)"
22.0   4.   122.0      86.00      2395.      16.0   72.  1.	"FORD pinto (sw)"
14.0   8.   302.0      137.0      4042.      14.5   73.  1.	"FORD gran torino"
13.0   8.   351.0      158.0      4363.      13.0   73.  1.	"FORD ltd"
18.0   6.   250.0      88.00      3021.      16.5   73.  1.	"FORD maverick"
12.0   8.   400.0      167.0      4906.      12.5   73.  1.	"FORD country"
19.0   4.   122.0      85.00      2310.      18.5   73.  1.	"FORD pinto"
21.0   6.   200.0      NA         2875.      17.0   74.  1.	"FORD maverick"
26.0   4.   122.0      80.00      2451.      16.5   74.  1.	"FORD pinto"
16.0   8.   302.0      140.0      4141.      14.0   74.  1.	"FORD gran torino"
14.0   8.   302.0      140.0      4638.      16.0   74.  1.	"FORD gran torino (sw)"
15.0   6.   250.0      72.00      3158.      19.5   75.  1.	"FORD maverick"
14.0   8.   351.0      148.0      4657.      13.5   75.  1.	"FORD ltd"
13.0   8.   302.0      129.0      3169.      12.0   75.  1.	"FORD mustang ii"
23.0   4.   140.0      83.00      2639.      17.0   75.  1.	"FORD pinto"
18.0   6.   171.0      97.00      2984.      14.5   75.  1.	"FORD pinto"
14.5   8.   351.0      152.0      4215.      12.8   76.  1.	"FORD gran torino"
24.0   6.   200.0      81.00      3012.      17.6   76.  1.	"FORD maverick"
18.0   6.   250.0      78.00      3574.      21.0   76.  1.	"FORD granada ghia"
26.5   4.   140.0      72.00      2565.      13.6   76.  1.	"FORD pinto"
13.0   8.   302.0      130.0      3870.      15.0   76.  1.	"FORD f108"
18.5   6.   250.0      98.00      3525.      19.0   77.  1.	"FORD granada"
16.0   8.   351.0      149.0      4335.      14.5   77.  1.	"FORD thunderbird"
25.5   4.   140.0      89.00      2755.      15.8   77.  1.	"FORD mustang ii 2+2"
36.1   4.   98.00      66.00      1800.      14.4   78   1.	"FORD fiesta"
20.2   6.   200.0      85.00      2965.      15.8   78.  1.	"FORD fairmont (auto)"
25.1   4.   140.0      88.00      2720.      15.4   78.  1.	"FORD fairmont (man)"
18.1   8.   302.0      139.0      3205.      11.2   78.  1.	"FORD futura"
22.3   4.   140.0      88.00      2890.      17.3   79.  1.	"FORD fairmont 4"
17.6   8.   302.0      129.0      3725.      13.4   79.  1.	"FORD ltd landau"
15.5   8.   351.0      142.0      4054.      14.3   79.  1.	"FORD country squire (sw)"
26.4   4.   140.0      88.00      2870.      18.1   80.  1.	"FORD fairmont"
23.6   4.   140.0      NA         2905.      14.3   80.  1.	"FORD mustang cobra"
34.4   4.   98.00      65.00      2045.      16.2   81.  1.	"FORD escort 4w"
29.9   4.   98.00      65.00      2380.      20.7   81.  1.	"FORD escort 2h"
20.2   6.   200.0      88.00      3060.      17.1   81.  1.	"FORD granada gl"
24.0   4.   140.0      92.00      2865.      16.4   82.  1.	"FORD fairmont futura"
22.0   6.   232.0      112.0      2835       14.7   82.  1.	"FORD granada l"
27.0   4.   140.0      86.00      2790.      15.6   82.  1.	"FORD mustang gl"
28.0   4.   120.0      79.00      2625.      18.6   82.  1.	"FORD ranger"
