_id,id,genero,edad,ocup,cp,len_cp
ObjectId("5e48217f0014452e3c1b162d"),161,M,45,16,98107-2117,10
ObjectId("5e48217f0014452e3c1b1675"),233,F,45,20,37919-4204,10
ObjectId("5e48217f0014452e3c1b16b1"),293,M,56,1,55337-4056,10
ObjectId("5e48217f0014452e3c1b1756"),458,M,50,16,55405-2546,10
ObjectId("5e48217f0014452e3c1b1786"),506,M,25,16,55103-1006,10
ObjectId("5e48217f0014452e3c1b17c3"),567,M,35,20,52570-9634,10
ObjectId("5e48217f0014452e3c1b18f0"),868,M,50,17,01702-7224,10
ObjectId("5e48217f0014452e3c1b191d"),913,M,25,0,20744-6223,10
ObjectId("5e48217f0014452e3c1b1937"),939,F,25,20,20110-5616,10
ObjectId("5e48217f0014452e3c1b193e"),946,M,35,7,48103-8929,10
ObjectId("5e48217f0014452e3c1b19a2"),1046,M,56,18,53404-1230,10
ObjectId("5e48217f0014452e3c1b19c5"),1081,M,18,4,68144-2410,10
ObjectId("5e48217f0014452e3c1b19ff"),1139,M,25,1,93420-2852,10
ObjectId("5e48217f0014452e3c1b1a3d"),1201,M,18,4,84112-2004,10
ObjectId("5e48217f0014452e3c1b1b43"),1463,M,50,16,92612-3417,10
ObjectId("5e48217f0014452e3c1b1b91"),1541,M,56,17,23464-3016,10
ObjectId("5e48217f0014452e3c1b1bb5"),1577,M,56,0,72227-5733,10
ObjectId("5e48217f0014452e3c1b1bc7"),1595,M,35,1,92683-1892,10
ObjectId("5e48217f0014452e3c1b1c15"),1673,M,1,10,98043-3621,10
ObjectId("5e48217f0014452e3c1b1c4c"),1728,M,18,4,11710-1641,10
ObjectId("5e48217f0014452e3c1b1c6a"),1758,F,25,0,33067-1400,10
ObjectId("5e48217f0014452e3c1b1d5e"),2002,F,56,13,02136-1522,10
ObjectId("5e48217f0014452e3c1b1db3"),2087,M,25,0,37923-3112,10
ObjectId("5e48217f0014452e3c1b1e10"),2180,M,25,12,27713-9225,10
ObjectId("5e48217f0014452e3c1b1e2e"),2210,M,45,17,88005-4313,10
ObjectId("5e48217f0014452e3c1b1e38"),2220,F,50,3,95451-9554,10
ObjectId("5e48217f0014452e3c1b1e95"),2313,F,50,6,48103-4711,10
ObjectId("5e48217f0014452e3c1b1fa5"),2585,M,45,15,64081-8102,10
ObjectId("5e48217f0014452e3c1b1fac"),2592,M,50,7,80004-4448,10
ObjectId("5e48217f0014452e3c1b2046"),2746,M,50,14,50265-2850,10
ObjectId("5e48217f0014452e3c1b21e6"),3162,M,25,1,08854-3115,10
ObjectId("5e48217f0014452e3c1b2263"),3287,M,56,13,27514-3540,10
ObjectId("5e48217f0014452e3c1b2278"),3308,F,18,20,15701-1348,10
ObjectId("5e48217f0014452e3c1b228c"),3328,M,56,19,91790-1161,10
ObjectId("5e48217f0014452e3c1b2291"),3333,M,18,16,29404-2205,10
ObjectId("5e48217f0014452e3c1b2352"),3526,M,35,2,62263-3004,10
ObjectId("5e4821830014452e3c1b2426"),3738,M,45,7,01904-1355,10
ObjectId("5e4821830014452e3c1b2494"),3848,M,25,15,70809-2612,10
ObjectId("5e4821830014452e3c1b24ee"),3938,M,25,2,92711-0571,10
ObjectId("5e4821830014452e3c1b2500"),3956,M,25,0,94930-2010,10
ObjectId("5e4821830014452e3c1b2538"),4012,M,18,4,49503-1313,10
ObjectId("5e4821830014452e3c1b253a"),4014,M,25,0,48316-5601,10
ObjectId("5e4821830014452e3c1b2552"),4038,M,50,6,11510-2001,10
ObjectId("5e4821830014452e3c1b25a8"),4124,M,25,18,62330-1408,10
ObjectId("5e4821830014452e3c1b260f"),4227,M,25,19,11414-2520,10
ObjectId("5e4821830014452e3c1b26f6"),4458,F,25,4,15701-2017,10
ObjectId("5e4821830014452e3c1b2718"),4492,M,56,13,45322-3132,10
ObjectId("5e4821830014452e3c1b27ff"),4723,M,35,7,90014-1718,10
ObjectId("5e4821830014452e3c1b2801"),4725,M,35,5,96707-1321,10
ObjectId("5e4821830014452e3c1b2816"),4746,M,50,1,19087-3622,10
ObjectId("5e4821830014452e3c1b2854"),4808,M,35,0,96707-1321,10
ObjectId("5e4821830014452e3c1b28f1"),4965,M,1,10,63123-1507,10
ObjectId("5e4821830014452e3c1b2950"),5060,M,45,17,84109-2001,10
ObjectId("5e4821830014452e3c1b29a5"),5145,M,35,7,77565-2332,10
ObjectId("5e4821830014452e3c1b2a4b"),5311,M,50,0,62025-8000,10
ObjectId("5e4821830014452e3c1b2a65"),5337,F,35,3,02725-1010,10
ObjectId("5e4821830014452e3c1b2aac"),5408,M,25,20,11230-1710,10
ObjectId("5e4821830014452e3c1b2aea"),5470,M,56,7,20003-2712,10
ObjectId("5e4821830014452e3c1b2aed"),5473,M,25,1,20120-6354,10
ObjectId("5e4821830014452e3c1b2b0c"),5504,M,45,7,85287-2702,10
ObjectId("5e4821830014452e3c1b2b6c"),5600,F,45,0,12833-2000,10
ObjectId("5e4821830014452e3c1b2bad"),5665,M,18,4,10461-1301,10
ObjectId("5e4821830014452e3c1b2bbe"),5682,M,18,0,23455-4959,10
ObjectId("5e4821830014452e3c1b2cb1"),5925,F,25,0,90035-4444,10
ObjectId("5e4821830014452e3c1b2cdb"),5967,M,50,16,73069-5429,10
ObjectId("5e4821830014452e3c1b2ced"),5985,F,18,4,78705-5221,10
ObjectId("5e4821830014452e3c1b2978"),5100,M,50,6,193122042,9
ObjectId("5e48217f0014452e3c1b17a9"),541,F,18,4,5849574,7
ObjectId("5e48217f0014452e3c1b1a77"),1259,M,35,7,2020010,7
ObjectId("5e4821830014452e3c1b2746"),4538,M,25,12,0956456,7
ObjectId("5e48217f0014452e3c1b19cf"),1091,M,18,5,345567,6
ObjectId("5e48217f0014452e3c1b1b26"),1434,F,1,10,495321,6
ObjectId("5e48217f0014452e3c1b1dc6"),2106,F,18,20,495321,6
ObjectId("5e48217f0014452e3c1b20b1"),2853,M,1,1,444555,6
ObjectId("5e48217f0014452e3c1b22a7"),3355,M,25,1,400060,6
ObjectId("5e4821830014452e3c1b24cd"),3905,M,25,17,361069,6
ObjectId("5e4821830014452e3c1b26f2"),4454,M,25,20,111225,6
ObjectId("5e4821830014452e3c1b28bd"),4913,F,25,1,970025,6
ObjectId("5e4821830014452e3c1b28f9"),4973,F,56,2,949702,6
ObjectId("5e4821830014452e3c1b2b12"),5510,M,18,4,191004,6
ObjectId("5e4821830014452e3c1b2c9c"),5904,F,45,12,954025,6
ObjectId("5e48217f0014452e3c1b158d"),1,F,1,10,48067,5
ObjectId("5e48217f0014452e3c1b158e"),2,M,56,16,70072,5
ObjectId("5e48217f0014452e3c1b158f"),3,M,25,15,55117,5
ObjectId("5e48217f0014452e3c1b1590"),4,M,45,7,02460,5
ObjectId("5e48217f0014452e3c1b1591"),5,M,25,20,55455,5
ObjectId("5e48217f0014452e3c1b1592"),6,F,50,9,55117,5
ObjectId("5e48217f0014452e3c1b1593"),7,M,35,1,06810,5
ObjectId("5e48217f0014452e3c1b1594"),8,M,25,12,11413,5
ObjectId("5e48217f0014452e3c1b1595"),9,M,25,17,61614,5
ObjectId("5e48217f0014452e3c1b1596"),10,F,35,1,95370,5
ObjectId("5e48217f0014452e3c1b1597"),11,F,25,1,04093,5
ObjectId("5e48217f0014452e3c1b1598"),12,M,25,12,32793,5
ObjectId("5e48217f0014452e3c1b1599"),13,M,45,1,93304,5
ObjectId("5e48217f0014452e3c1b159a"),14,M,35,0,60126,5
ObjectId("5e48217f0014452e3c1b159b"),15,M,25,7,22903,5
ObjectId("5e48217f0014452e3c1b159c"),16,F,35,0,20670,5
ObjectId("5e48217f0014452e3c1b159d"),17,M,50,1,95350,5
ObjectId("5e48217f0014452e3c1b159e"),18,F,18,3,95825,5
ObjectId("5e48217f0014452e3c1b159f"),19,M,1,10,48073,5
ObjectId("5e48217f0014452e3c1b15a0"),20,M,25,14,55113,5
ObjectId("5e48217f0014452e3c1b15a1"),21,M,18,16,99353,5
ObjectId("5e48217f0014452e3c1b15a2"),22,M,18,15,53706,5
ObjectId("5e48217f0014452e3c1b15a3"),23,M,35,0,90049,5
ObjectId("5e48217f0014452e3c1b15a4"),24,F,25,7,10023,5
ObjectId("5e48217f0014452e3c1b15a5"),25,M,18,4,01609,5
ObjectId("5e48217f0014452e3c1b15a6"),26,M,25,7,23112,5
ObjectId("5e48217f0014452e3c1b15a7"),27,M,25,11,19130,5
ObjectId("5e48217f0014452e3c1b15a8"),28,F,25,1,14607,5
ObjectId("5e48217f0014452e3c1b15a9"),29,M,35,7,33407,5
ObjectId("5e48217f0014452e3c1b15aa"),30,F,35,7,19143,5
ObjectId("5e48217f0014452e3c1b15ab"),31,M,56,7,06840,5
ObjectId("5e48217f0014452e3c1b15ac"),32,F,25,0,19355,5
